56.0000,745.0000,334.0000
-994.8794,1706.3944,-19538.9994
16445.6414,-27584.4722,315848.6017
-265840.6298,445906.5912,-5105720.9507
4297339.7918,-7208114.6924,82534388.7650
-69466840.2921,116519757.5721,-1334175063.4823
1122937088.6981,-1883551291.0856,21567047659.7315
-18152368733.9046,30447758756.2245,-348633067392.9933
293434506755.0992,-492190479558.7570,5635681693501.0430
-4743392502399.4834,7956298856298.2959,-91101249769510.0625
76677322925148.7969,-128614213642393.2969,1472659060772919.2500
-1239495118313112.2500,2079059151700522.2500,-23805652664080292.0000
20036538701563716.0000,-33608159112865996.0000,384820298097645440.0000
-323892266462195008.0000,543278606590803392.0000,-6220651200687500288.0000
5235744648142761984.0000,-8782142556158451712.0000,100557329101168852992.0000
-84636235128371724288.0000,141964043754037395456.0000,-1625517346936802508800.0000
1368151576919628840960.0000,-2294860233721150963712.0000,26276619206284665683968.0000
-22116280746521407782912.0000,37096601033984857604096.0000,-424763671832369622417408.0000
357511464599720418082816.0000,-599669552007176207204352.0000,6866339063335984193077248.0000
-5779201701458805738438656.0000,9693706743511304347058176.0000,-110994925553096278732177408.0000
93421262290256845162414080.0000,-156699552469644203048042496.0000,1794241936626972158169448448.0000
-1510162250558227499458756608.0000,2533060922296110975140495360.0000,-29004065826512942496342867968.0000
24411894756092791355368013824.0000,-40947134404270913456632233984.0000,468853066744248601488339763200.0000
-394620250481206769724730376192.0000,661913734945466506018530787328.0000,-7579047693187345360278974889984.0000
6379068222510012798013559275520.0000,-10699888988172001211566910341120.0000,122515918120126188700980303888384.0000
-103118153054274086268377969459200.0000,172964569723933619282897914560512.0000,-1980479712023687445030036807090176.0000
1666913272976523125212870789300224.0000,-2795986239937294792734115245326336.0000,32014614508227698609716605784948736.0000
-26945787694266088960215028829519872.0000,45197343400421014258711624597635072.0000,-517518829346212740911265605174165504.0000
435580834489334313459355224280924160.0000,-730618706657653087923272441153978368.0000,8365733676382195189322102750509531136.0000
-7041199371388146974179429380622647296.0000,11810510405200700179360922753061355520.0000,-135232760579105104316076025410161213440.0000
113821556556228176534515520764920201216.0000,-190917854635104753289007723432783118336.0000,2186048497512565529358042349169096523776.0000
-1839934655099611686467978361459523452928.0000,3086202540613365566627130022720620724224.0000,-35337650529448126490035405078940744679424.0000
29742692311224451216595750005557604384768.0000,-49888713341622993526298957866721410547712.0000,571235975030891223216634283024649839181824.0000
-480793023528478145838905661460985990348800.0000,806455080679176989515513985700253480779776.0000,-9234075675109382616680121885399354892615680.0000
7772058058994840293317331459292871415300096.0000,-13036411516563275081123585617997847506976768.0000,149269579124521469281888979730150400133693440.0000
-125635946272853412053200604477726309708988416.0000,210734645116324997903199556020171953678581760.0000,-2412954803053185913174786436114958597710938112.0000
2030915219117226389593670483219292790483582976.0000,-3406542559344642486430925444911600533233467392.0000,39005609285736673527476752672639241833032974336.0000
-32829908554071132019101374870050547767120494592.0000,55067035618280400192137657256474933614268645376.0000,-630528824587358622004233765966304067455746572288.0000
530698123448579490205580723027381078182684786688.0000,-890163078534482510452500746543208140633324650496.0000,10192549377273688334676127004249162481858565373952.0000
-8578778030038662751774576730046887087345609211904.0000,14389558062990053499256212326499530545804466978816.0000,-164763383935937303475031127969347478254258007048192.0000
138676639763556380481834750325668731401937352654848.0000,-232608368332973019116536497980274350669100105072640.0000,2663413409264481593429515712780147526824119435788288.0000
-2241719082691373948907324040780613300622895842590720.0000,3760133061882585312863234021080459082794828814090240.0000,-43054292884686221840619873301615130404925157138235392.0000
36237570035377253272860969930082259552718105656426496.0000,-60782854651314438832942688054228545514618340285349888.0000,695976121976590129126630248768686913464448779183718400.0000
-585783246530742622455309645950730895067613366816079872.0000,982559754870234117022665863821597001059061128235057152.0000,-11250510225749434170476200290730908150394864399890251776.0000
9469233493887733265529488602126482509823608753578049536.0000,-15883157798837887868129175101156202548684707167930941440.0000,181865406503055333699291177055058466189166250270985814016.0000
-153070924258772699629549539584010571668825605892554620928.0000,256752528701017795117236057590180643984891191361343062016.0000,-2939868985392466298325509578308244434575638832939658117120.0000
2474403854183038606213285705219652686451280622205687300096.0000,-4150425364356087021033659453772349080798780009720492064768.0000,47523219602114545140881552984632169031074790702627157966848.0000
-39998938160491165582730466302361563475035380731895592517632.0000,67091961244711471967305629814429111319874433095444113391616.0000,-768216683319071440935766887899677890729339846280675424468992.0000
646586066078947356154483912792957896860714582532592559456256.0000,-1084546972539095446479168076517934482588752009608761513607168.0000,12418284734721455547510621234608430567160391745929608721072128.0000
-10452115982928763348355443804336559030853535795991833449857024.0000,17531789409963551858859368415335713980587201960981606004948992.0000,-200742575761746043369233848137416100358857563510968225483456512.0000
168959299081548776583119791669614687517442824457522020836442112.0000,-283402791854854812185178169015195792378015859228407817031385088.0000,3245019951168339170014558773375951711168881622529367880729886720.0000
-2731240716497396636324070867636923045055535196784191005117120512.0000,4581229020779865437888254346327617615843691573483464048764780544.0000,-52456009610927883752987113043106762816347143426820094596946591744.0000
44150726784518530052922999031341524395539355058864571691462295552.0000,-74055937146817216946195847543017522905128110031650131707489681408.0000,847955632233034153832332029253758337704159624750761895577486622720.0000
-713700064526355543432945910518700252874769280118136858092026986496.0000,1197120205477033079035285957768267023349683307269623321871559688192.0000,-13707271284431303819148463211028556836119706571385288414968909135872.0000
11537019188629390823320375829202217947636584369351868367805970644992.0000,-19351544812946375598528784075572418886526022585617679031966432755712.0000,221579147449261270487833608955289213993580672220659604861362196447232.0000
-186496847029341393348820847484652467253157277341969510842384198402048.0000,312819284925732908191926656853184550080989050623663605736121181405184.0000,-3581844815467111766401195495690244002618159442303018396448971294769152.0000
3014736595581375431893836220230821024431688641149213831118682383712256.0000,-5056749007241029798656274887458468882260332648747547504812895200346112.0000,57900810747664967209574579413262706419650403953970561069371274842603520.0000
-48733460567875838298643329460897333211055069168965637499009892050010112.0000,81742756135715672057328006167745269313674292128360704049375918925283328.0000,-935971282385027695940929216123629767104253154141113466253876253626990592.0000
787780326281776917819918736912169519759749213192075768235526628772413440.0000,-1321378255297018023883156055904456022788955867566608131997377392145334272.0000,15130051378163165027456057940237328346704765729641245228416575332616765440.0000
-12734532603369213052130820525254650979605154630921066893218566169985810432.0000,21360186224610285336380346227881618350024360186929769181791531587923345408.0000,-244578502582398298562855135101124129575592372727575109447674938951332790272.0000
205854748101780318358990526612507085269501775605818366832271224183503978496.0000,-345289135583265507999094141900670404452800031073181126255336122259181928448.0000,3953631248852399890540253678112913443973208989095312194582691898474570448896.0000
-3327658629955199990521845822363690364284698647530086201942923678390163603456.0000,5581626765710183776933596542172178666802711797767488866161733657944236490752.0000,-63910768472531829802974612412361120143922140444103995106421077794461031858176.0000
53791870528244344655950809808877112053072382260809583467236562001026617442304.0000,-90227447495750973685462414689990099894732495092020197300776739288149479391232.0000,1033122734431841884867996951076104156100261450885718179439900071025604615471104.0000
-869549931858953301944782672623696310474305517530864056095019186096157975642112.0000,1458533976440589201143998881110092917733348578442204872996211388625524896038912.0000,-16700512447423608772356375860186014934843202933090499835686305758267208208744448.0000
14056344882056076233550358809038452028317465909710627765509222037440309535703040.0000,-23577319534964982591312890404883247578613917486413762313612551093834250088087552.0000,269965132613148539058638667238314208834730715749871753338846885394299377659412480.0000
-227221950349543506597981688159411364173877748736486750284144215406646736480894976.0000,381129274623027393768126753114876308895492633228274317451829143170437106274140160.0000,-4364008173777820175575043600687955950298008511483257193492074694314964113541824512.0000
3673061180119415883958045385086886834053490862922410820433857168391379551705366528.0000,-6160985508096297924705884526010503315080747695007927908511143182907413686304899072.0000,70544544610099312325444978282661614444440242603324244400423920900047122744494522368.0000
-59375330649816087446750149508285795046227621939639978930143720252685037073913085952.0000,99592828361233524299796059086181191250674769952605524170674595403155314925683867648.0000,-1140358261505780514152620992153334312590307405640780184739907433234295767572634664960.0000
959807015700286739585036951076070795268452385981689675365299252635656834872214814720.0000,-1609926114573014379207397266205027734775956951109099200314289295051811427533038026752.0000,18433983403988343107830370385177374425254481225219216245521518105575080493852699656192.0000
-15515357932416727377089629373819363550564479248042777444031063919559547277822125932544.0000,26024585675820036708294987149492322382854452713316439118610504478802100990566635405312.0000,-297986830638482747892749580308432821657029883284103410215106876437220979503560216543232.0000
250807014153121111691142469185547573243464939643558849301070518043446891673502512840704.0000,-420689529455658373665416159687291179471261188747515576749404048646886553237629322657792.0000,4816981185670160083796615460226820032844129465130193397967162158639076199818808010997760.0000
-4054315641470071883372347485613554669248259502877129845775227625734752602313631257853952.0000,6800480222747929726806195030943267364512281612767747876670821849725705362161529706774528.0000,-77866889933973376068452683385678397725255357007192198680987675911303077853609665090289664.0000
65538339811475841694115039625188355404029097177178799007063972116776175874457661446553600.0000,-109930312075571226138695126827328874220568320875921767143612192667105814703687175310934016.0000,1258724565092104720316019526642166862162132147855642450916448106094751597221751984870129664.0000
-1059432556584823877846515848418130321343028728177986006485809692111692118702759526447185920.0000,1777032373773939029063392420756552329797919578505497889345516157316710202916969704312537088.0000,-20347384261908721675684325406778336592872839295475865805698770780531474286197213681774755840.0000
17125812847571145399115519152385271155854925012116645256976138991979970342907537814728998912.0000,-28725871852977109453134015129600667095211453412025461942204724126621036074929230260130021376.0000,328917110052170878079620952095725884003484205110804339893933861944149628649778616569578913792.0000
